5  0.015819 5.33482e-05
4.95  0.015778 6.2093e-05
4.9  0.0162119 5.67594e-05
4.85  0.0159659 5.41113e-05
4.8  0.0158339 5.63645e-05
4.75  0.0159168 5.83916e-05
4.7  0.0162448 5.77728e-05
4.65  0.0160962 5.97476e-05
4.6  0.0166124 5.43642e-05
4.55  0.0167968 6.30098e-05
4.5  0.0172382 5.88246e-05
4.45  0.0173844 5.79987e-05
4.4  0.0175957 5.94746e-05
4.35  0.0185082 6.74139e-05
4.3  0.0186299 6.28224e-05
4.25  0.019712 6.6859e-05
4.2  0.0202055 6.94849e-05
4.15  0.0211085 7.03049e-05
4.1  0.022372 7.25894e-05
4.05  0.0219739 8.14604e-05
4  0.022438 6.26448e-05
3.95  0.0232833 7.2602e-05
3.9  0.024745 7.34339e-05
3.85  0.0259479 8.10664e-05
3.8  0.0276955 9.42353e-05
3.75  0.0294985 8.21047e-05
3.7  0.0316749 9.34396e-05
3.65  0.0330803 9.39257e-05
3.6  0.0356276 9.49666e-05
3.55  0.0388921 0.000103698
3.5  0.042822 0.000114513
3.45  0.0493682 0.000146354
3.4  0.0561788 0.000153875
3.35  0.071943 0.000264844
3.3  0.0914043 0.000285263
3.25  0.164461 0.000663265
3.2  0.527829 0.00761082
3.15  0.770004 0.00128549
3.1  0.808046 0.000127333
3.05  0.821466 0.000127087
3  0.833823 0.000117904
2.95  0.845561 0.000117434
2.9  0.856358 0.000111298
2.85  0.866806 0.000104906
2.8  0.876558 9.96177e-05
2.75  0.885797 9.62365e-05
2.7  0.894741 8.26719e-05
2.65  0.902907 8.89073e-05
2.6  0.910705 8.39353e-05
2.55  0.918013 7.71606e-05
2.5  0.925009 7.9518e-05
2.45  0.931382 7.00465e-05
2.4  0.937644 6.70384e-05
2.35  0.943323 6.23536e-05
2.3  0.948547 6.03407e-05
2.25  0.953668 5.74646e-05
2.2  0.958313 5.33202e-05
2.15  0.962655 5.11847e-05
2.1  0.966671 4.61766e-05
2.05  0.970394 4.87178e-05
2  0.973854 4.08296e-05
1.95  0.977037 3.91586e-05
1.9  0.979912 3.66525e-05
1.85  0.982484 3.44572e-05
1.8  0.984986 3.06395e-05
1.75  0.987037 3.09712e-05
1.7  0.988998 2.69157e-05
1.65  0.990692 2.4231e-05
1.6  0.992254 2.34682e-05
1.55  0.993598 2.02946e-05
1.5  0.994754 1.83561e-05
1.45  0.99579 1.69383e-05
1.4  0.996646 1.4502e-05
1.35  0.997368 1.26602e-05
1.3  0.997953 1.08304e-05
1.25  0.998483 9.75664e-06
1.2  0.998884 8.55905e-06
1.15  0.999189 7.21806e-06
1.1  0.999442 5.83095e-06
1.05  0.999625 4.66313e-06
1  0.999749 3.99778e-06
0.95  0.999844 3.00737e-06
0.9  0.999908 2.37935e-06
0.85  0.999949 1.84761e-06
0.8  0.999973 1.26242e-06
0.75  0.999988 8.54457e-07
0.7  0.999995 6.28431e-07
0.65  0.999997 4.00402e-07
0.6  1 1.71418e-07
0.55  1 8.62302e-08
0.5  1 8.62302e-08
0.45  1 0
0.4  1 0
0.35  1 0
0.3  1 0
0.25  1 0
0.2  1 0
