0 0
1 0.250305
2 0.289601
3 0.302483
4 0.298122
5 0.304679
6 0.306693
7 0.306813
8 0.3071
9 0.309748
10 0.307185
11 0.30592
12 0.30489
13 0.304316
14 0.304062
15 0.304294
16 0.303752
17 0.303341
18 0.309738
19 0.307283
20 0.305086
21 0.309032
22 0.30727
23 0.30754
24 0.304214
25 0.30241
26 0.300844
27 0.304887
28 0.305644
29 0.30933
30 0.30965
31 0.305233
32 0.300995
33 0.304025
34 0.306366
35 0.305206
36 0.306686
37 0.305705
38 0.305038
39 0.304997
40 0.306398
41 0.310346
42 0.310937
43 0.30311
44 0.307873
45 0.30604
46 0.30598
47 0.306456
48 0.307076
49 0.307703
